time,last_timestamp_in_pcap,opened_connections,closed_connections,stalled_connections,ongoing_connections,avg_duration,bytes_in,pkg_in_0-100,pkg_in_100-200,pkg_in_200-300,pkg_in_300-400,pkg_in_400-500,pkg_in_500-600,pkg_in_600-700,pkg_in_700-800,pkg_in_800-900,pkg_in_900-1000,pkg_in_1000-1100,pkg_in_1100-1200,pkg_in_1200-1300,pkg_in_1300-1400,pkg_in_1400-1500,pkg_in_1500-1600,bytes_out,pkg_out_0-100,pkg_out_100-200,pkg_out_200-300,pkg_out_300-400,pkg_out_400-500,pkg_out_500-600,pkg_out_600-700,pkg_out_700-800,pkg_out_800-900,pkg_out_900-1000,pkg_out_1000-1100,pkg_out_1100-1200,pkg_out_1200-1300,pkg_out_1300-1400,pkg_out_1400-1500,pkg_out_1500-1600,avg_bytes_in,avg_bytes_out,ttl_changes_in,ttl_changes_out
2018-03-20 13:03:53.826266,1520948030.314684,0,0,0,2,0.4516632556915283,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8334.625,30,1,1,1,1,1,1,4,2,0,0,3,0,4,11,0,0.0,1111.2833333333333,0,42
2018-03-20 13:03:53.850711,1520948030.816076,0,0,0,2,0.4761221408843994,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10530.625,33,1,2,3,2,0,0,2,0,3,1,3,3,9,10,0,0.0,1058.428125,0,56
2018-03-20 13:03:53.863423,1520948031.349975,0,0,0,2,0.4888186454772949,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3919.0,18,0,0,2,2,3,3,4,0,1,2,1,0,0,0,0,0.0,870.8888888888889,0,28
2018-03-20 13:03:53.875287,1520948031.850034,0,0,0,2,0.5006818771362305,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3101.375,17,0,1,0,1,3,4,5,0,0,1,1,1,0,1,0,0.0,690.6388888888889,0,32
2018-03-20 13:03:53.886950,1520948032.350923,0,0,0,2,0.5123424530029297,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3743.75,20,0,0,2,0,3,5,2,2,1,2,1,1,1,0,0,0.0,748.75,0,36
2018-03-20 13:03:53.900394,1520948032.884001,0,0,0,2,0.5257878303527832,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6966.5,22,1,1,1,1,4,2,0,2,1,0,3,2,5,0,0,0.0,1212.695652173913,0,29
2018-03-20 13:03:53.914137,1520948033.384771,0,0,0,2,0.5395257472991943,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4313.25,25,1,0,0,0,0,0,1,3,1,2,2,1,3,9,0,0.0,718.875,0,45
2018-03-20 13:03:53.924710,1520948033.918964,0,0,0,2,0.5501017570495605,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4459.5,19,1,0,1,0,0,0,1,2,3,3,2,1,1,2,0,0.0,991.0,0,30
2018-03-20 13:03:53.943953,1520948034.418971,0,0,0,2,0.5693480968475342,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7643.0,31,0,0,0,0,1,1,1,0,3,5,4,3,3,10,0,0.0,986.1935483870968,0,57
2018-03-20 13:03:53.956570,1520948034.919905,0,0,0,2,0.5819625854492188,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4559.375,21,0,0,0,0,0,1,0,0,0,2,9,5,2,3,0,0.0,830.211038961039,0,39
2018-03-20 13:03:53.967937,1520948035.454017,0,0,0,2,0.593332052230835,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4845.75,19,0,0,1,0,0,0,0,1,0,0,3,8,5,1,0,0.0,1020.1578947368421,0,35
2018-03-20 13:03:53.984434,1520948035.988551,0,0,0,2,0.6098296642303467,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5817.75,28,0,0,1,0,0,0,0,0,0,0,1,3,12,11,0,0.0,831.1071428571428,0,52
2018-03-20 13:03:54.004284,1520948036.52089,0,0,0,2,0.6296780109405518,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8062.0,35,0,3,0,0,3,0,0,1,1,0,2,5,2,16,0,0.0,948.4705882352941,0,56
2018-03-20 13:03:54.018886,1520948037.021959,0,0,0,2,0.6442818641662598,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5986.875,24,0,0,0,0,0,1,2,1,2,6,3,2,3,1,0,0.0,1087.3359683794467,0,38
2018-03-20 13:03:54.029896,1520948037.521971,0,0,0,2,0.6552917957305908,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3957.0,18,0,1,0,1,1,3,0,1,3,0,2,2,2,1,0,0.0,929.5294117647059,0,31
2018-03-20 13:03:54.044852,1520948038.022706,0,0,0,2,0.6702456474304199,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4313.25,25,0,7,0,1,0,0,0,1,1,2,1,2,4,7,0,0.0,664.6507692307692,0,47
2018-03-20 13:03:54.055326,1520948038.55675,0,0,0,2,0.6807177066802979,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2796.375,18,0,12,1,1,1,0,0,1,0,0,1,0,1,0,0,0.0,621.4166666666666,0,33
2018-03-20 13:03:54.068720,1520948039.090564,0,0,0,2,0.6941332817077637,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3777.25,22,0,13,0,2,0,0,1,1,0,0,1,1,2,3,0,0.0,631.7537878787879,0,43
2018-03-20 13:03:54.080498,1520948039.590605,0,0,0,2,0.7058930397033691,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3538.375,19,0,7,1,0,0,0,0,1,0,2,4,0,3,0,0,0.0,784.8611111111111,0,30
2018-03-20 13:03:54.095036,1520948040.091366,0,0,0,2,0.7204279899597168,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8846.25,25,2,0,0,1,2,1,3,0,0,1,10,1,1,2,0,0.0,1363.9615384615386,0,33
2018-03-20 13:03:54.110097,1520948040.612904,0,0,0,2,0.7354917526245117,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5794.625,26,0,0,0,1,2,1,1,0,0,1,4,1,4,7,0,0.0,965.7708333333334,0,41
2018-03-20 13:03:54.120629,1520948041.125757,0,0,0,2,0.7460200786590576,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3963.5,18,0,0,0,0,1,0,1,1,1,1,2,1,4,6,0,0.0,880.7777777777778,0,34
2018-03-20 13:03:54.130234,1520948041.627142,0,0,0,2,0.7556226253509521,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4073.5,16,3,2,0,0,1,0,2,0,0,1,1,1,1,5,0,0.0,960.0,0,26
2018-03-20 13:03:54.141137,1520948042.160619,0,0,0,2,0.766526460647583,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4634.625,18,0,1,1,0,1,0,0,3,0,2,5,1,3,2,0,0.0,977.078947368421,0,30
2018-03-20 13:03:54.162269,1520948042.693696,0,0,0,2,0.7876663208007812,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10958.125,33,1,1,0,2,2,2,1,1,1,2,11,1,4,6,0,0.0,1220.4791666666667,0,50
2018-03-20 13:03:54.177535,1520948043.194828,0,0,0,2,0.8029286861419678,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8789.25,27,0,0,0,1,2,4,1,1,1,2,4,3,4,2,0,0.0,1352.1923076923078,0,38
2018-03-20 13:03:54.196142,1520948043.694976,0,0,0,2,0.8215367794036865,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10112.125,32,0,1,1,1,1,0,2,0,3,0,8,3,8,3,0,0.0,1264.852318548387,0,45
2018-03-20 13:03:54.206141,1520948044.195942,0,0,0,2,0.8315327167510986,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5086.25,20,1,0,0,2,0,1,0,0,1,0,3,2,3,1,0,0.0,1196.764705882353,0,23
2018-03-20 13:03:54.265576,1520948044.696307,0,0,0,2,0.890974760055542,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11298.0,35,2,1,0,0,0,3,0,1,2,3,12,3,1,10,0,0.0,1162.1251885369534,0,57
2018-03-20 13:03:54.285793,1520948045.19695,0,0,0,2,0.9111907482147217,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7895.625,25,1,3,1,2,0,1,0,1,2,0,5,5,2,4,0,0.0,1131.6607142857142,0,37
2018-03-20 13:03:54.304773,1520948045.731119,0,0,0,2,0.9301674365997314,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7045.625,25,1,1,1,0,1,0,2,2,2,1,4,4,5,5,0,0.0,975.3965517241379,0,45
2018-03-20 13:03:54.321812,1520948046.264103,0,0,0,2,0.9472055435180664,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5708.25,26,1,3,1,0,0,0,3,2,1,1,2,1,5,6,0,0.0,847.6281481481482,0,44
2018-03-20 13:03:54.333547,1520948046.764234,0,0,0,2,0.9589376449584961,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3928.375,21,1,0,10,2,1,0,0,1,0,0,2,1,1,0,0,0.0,785.675,0,35
2018-03-20 13:03:54.347076,1520948047.26549,0,0,0,2,0.9724702835083008,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6027.75,22,1,0,0,0,1,2,1,1,0,3,5,2,5,1,0,0.0,1095.9545454545455,0,35
2018-03-20 13:03:54.360640,1520948047.798445,0,0,0,2,0.9860355854034424,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5004.0,22,0,0,0,0,0,0,1,0,0,1,0,5,1,11,1,0.0,912.2363636363636,0,37
