time,last_timestamp_in_pcap,opened_connections,closed_connections,stalled_connections,ongoing_connections,avg_duration,bytes_in,pkg_in_0-100,pkg_in_100-200,pkg_in_200-300,pkg_in_300-400,pkg_in_400-500,pkg_in_500-600,pkg_in_600-700,pkg_in_700-800,pkg_in_800-900,pkg_in_900-1000,pkg_in_1000-1100,pkg_in_1100-1200,pkg_in_1200-1300,pkg_in_1300-1400,pkg_in_1400-1500,pkg_in_1500-1600,bytes_out,pkg_out_0-100,pkg_out_100-200,pkg_out_200-300,pkg_out_300-400,pkg_out_400-500,pkg_out_500-600,pkg_out_600-700,pkg_out_700-800,pkg_out_800-900,pkg_out_900-1000,pkg_out_1000-1100,pkg_out_1100-1200,pkg_out_1200-1300,pkg_out_1300-1400,pkg_out_1400-1500,pkg_out_1500-1600,avg_bytes_in,avg_bytes_out,ttl_changes_in,ttl_changes_out
2018-03-20 13:04:48.381941,1520948030.219936,0,0,0,2,0.428230881690979,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6245.125,25,1,1,1,1,1,2,3,2,1,0,2,2,1,2,0,0.0,1242.165,0,27
2018-03-20 13:04:48.407918,1520948030.720427,0,0,0,2,0.4542144536972046,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12238.5,39,1,1,2,0,0,1,3,0,3,1,6,1,16,9,0,0.0,1092.0932748538012,0,61
2018-03-20 13:04:48.419765,1520948031.253477,0,0,0,2,0.4660564661026001,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4923.125,17,0,0,2,2,5,4,1,0,1,1,1,1,4,0,0,0.0,901.0227272727273,0,27
2018-03-20 13:04:48.431484,1520948031.754271,0,0,0,2,0.4777718782424927,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2682.875,18,0,1,0,1,3,4,6,0,0,0,1,1,1,0,0,0.0,596.1944444444445,0,33
2018-03-20 13:04:48.442171,1520948032.254434,0,0,0,2,0.4884599447250366,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3271.125,17,0,0,1,0,2,4,3,2,1,1,2,1,1,0,0,0.0,728.3611111111111,0,31
2018-03-20 13:04:48.454451,1520948032.755221,0,0,0,2,0.5007408857345581,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5540.0,19,0,0,2,0,5,3,1,1,1,0,2,3,4,0,0,0.0,1010.8181818181819,0,28
2018-03-20 13:04:48.470707,1520948033.256113,0,0,0,2,0.5170024633407593,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6433.875,29,2,1,0,1,0,0,1,1,0,1,4,3,7,2,0,0.0,1067.764880952381,0,39
2018-03-20 13:04:48.481611,1520948033.756596,0,0,0,2,0.5278991460800171,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3498.5,18,1,0,1,0,0,0,1,4,3,4,1,2,1,1,0,0.0,737.8947368421053,0,33
2018-03-20 13:04:48.492100,1520948034.256928,0,0,0,2,0.5383878946304321,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4120.0,17,0,0,0,0,0,1,0,0,1,3,4,3,2,4,0,0.0,871.4736842105264,0,30
2018-03-20 13:04:48.508424,1520948034.757812,0,0,0,2,0.5547167062759399,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6490.625,29,0,0,0,0,1,0,1,0,0,4,7,6,4,3,0,0.0,995.3905835543767,0,47
2018-03-20 13:04:48.522997,1520948035.257967,0,0,0,2,0.5692886114120483,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6891.125,24,0,0,1,0,0,1,0,0,0,0,7,8,7,1,0,0.0,1103.66,0,39
2018-03-20 13:04:48.538745,1520948035.758482,0,0,0,2,0.5850416421890259,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5171.25,28,0,0,1,0,0,0,0,0,0,0,1,9,9,2,0,0.0,932.3961038961038,0,45
2018-03-20 13:04:48.556387,1520948036.259315,0,0,0,2,0.6026836633682251,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7320.125,33,0,1,0,0,2,0,0,1,0,0,2,8,6,6,0,0.0,1118.6835664335663,0,48
2018-03-20 13:04:48.567748,1520948036.759516,0,0,0,2,0.6140385866165161,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5183.0,20,0,2,0,0,1,0,2,0,2,3,2,3,1,2,0,0.0,1091.157894736842,0,28
2018-03-20 13:04:48.579051,1520948037.260396,0,0,0,2,0.6253398656845093,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4311.125,20,0,1,0,1,0,2,0,1,2,1,2,4,4,0,0,0.0,907.6052631578948,0,31
2018-03-20 13:04:48.591184,1520948037.760561,0,0,0,2,0.6374748945236206,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6106.875,17,0,0,0,0,1,2,0,1,3,2,3,6,4,1,0,0.0,1068.8478260869565,0,31
2018-03-20 13:04:48.606493,1520948038.261099,0,0,0,2,0.6528052091598511,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3078.625,27,0,11,1,2,1,0,0,0,0,0,1,1,3,2,0,0.0,553.4368686868687,0,45
2018-03-20 13:04:48.617457,1520948038.761745,0,0,0,2,0.6637471914291382,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2474.5,18,0,13,0,1,0,0,1,0,0,0,1,1,2,0,0,0.0,522.3157894736842,0,33
2018-03-20 13:04:48.628118,1520948039.262617,0,0,0,2,0.6744040250778198,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2193.375,19,0,13,0,1,0,0,0,0,0,0,1,2,1,0,0,0.0,485.937134502924,0,34
2018-03-20 13:04:48.640500,1520948039.763451,0,0,0,2,0.6867915391921997,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6459.0,20,0,2,1,1,1,0,1,1,0,2,6,0,6,0,0,0.0,1231.5238095238096,0,26
2018-03-20 13:04:48.656865,1520948040.29566,0,0,0,2,0.7031556367874146,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8611.75,29,2,0,0,1,2,2,2,0,0,1,11,1,2,2,0,0.0,1190.5172413793102,0,40
2018-03-20 13:04:48.669112,1520948040.796098,0,0,0,2,0.7154055833816528,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3911.375,21,0,0,0,0,1,0,1,0,1,0,2,2,3,7,0,0.0,866.2055555555555,0,34
2018-03-20 13:04:48.679542,1520948041.296775,0,0,0,2,0.7258287668228149,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3981.625,17,2,1,0,0,1,0,1,1,0,0,1,2,5,4,0,0.0,886.25,0,29
2018-03-20 13:04:48.691986,1520948041.797063,0,0,0,2,0.7382766008377075,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5271.25,18,1,1,1,0,2,0,2,1,0,0,1,2,7,5,0,0.0,922.3913043478261,0,32
2018-03-20 13:04:48.703720,1520948042.297426,0,0,0,2,0.7500103712081909,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5063.5,19,0,2,0,1,1,0,0,2,0,3,5,2,3,1,0,0.0,1014.0,0,30
2018-03-20 13:04:48.720649,1520948042.798229,0,0,0,2,0.7669416666030884,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9580.75,29,1,0,0,1,2,3,1,1,1,1,9,1,4,3,0,0.0,1322.3866995073893,0,40
2018-03-20 13:04:48.741166,1520948043.2998,0,0,0,2,0.7874609231948853,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10498.25,32,0,0,0,1,1,2,2,1,1,2,6,6,7,4,0,0.0,1237.491935483871,0,45
2018-03-20 13:04:48.756352,1520948043.832836,0,0,0,2,0.802643895149231,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7851.875,29,0,1,1,1,1,0,1,1,3,0,7,2,3,1,0,0.0,1255.26,0,37
2018-03-20 13:04:48.769587,1520948044.333563,0,0,0,2,0.8158785104751587,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7324.25,22,2,0,0,2,0,2,0,0,0,1,5,2,6,2,0,0.0,1276.0434782608695,0,28
2018-03-20 13:04:48.789251,1520948044.833936,0,0,0,2,0.8355444669723511,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10632.75,33,1,1,0,1,0,2,0,1,3,2,13,3,1,5,0,0.0,1252.452205882353,0,49
2018-03-20 13:04:48.806576,1520948045.33429,0,0,0,2,0.8528724908828735,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8864.0,28,2,4,1,1,0,1,0,1,1,0,7,4,2,4,0,0.0,1224.4137931034484,0,37
