time,last_timestamp_in_pcap,opened_connections,closed_connections,stalled_connections,ongoing_connections,avg_duration,bytes_in,pkg_in_0-100,pkg_in_100-200,pkg_in_200-300,pkg_in_300-400,pkg_in_400-500,pkg_in_500-600,pkg_in_600-700,pkg_in_700-800,pkg_in_800-900,pkg_in_900-1000,pkg_in_1000-1100,pkg_in_1100-1200,pkg_in_1200-1300,pkg_in_1300-1400,pkg_in_1400-1500,pkg_in_1500-1600,bytes_out,pkg_out_0-100,pkg_out_100-200,pkg_out_200-300,pkg_out_300-400,pkg_out_400-500,pkg_out_500-600,pkg_out_600-700,pkg_out_700-800,pkg_out_800-900,pkg_out_900-1000,pkg_out_1000-1100,pkg_out_1100-1200,pkg_out_1200-1300,pkg_out_1300-1400,pkg_out_1400-1500,pkg_out_1500-1600,avg_bytes_in,avg_bytes_out,ttl_changes_in,ttl_changes_out
2018-03-20 13:04:17.184890,1520948030.255698,0,0,0,2,0.5992411375045776,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6381.625,24,1,1,1,1,1,2,1,3,2,1,0,1,1,26,0,0.0,619.5595238095239,0,66
2018-03-20 13:04:17.221026,1520948030.788367,0,0,0,2,0.6353811025619507,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12884.0,40,1,1,2,0,0,2,2,0,4,1,0,0,8,56,0,0.0,674.2884615384615,0,117
2018-03-20 13:04:17.235872,1520948031.289115,0,0,0,2,0.650222659111023,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4480.875,17,0,0,1,1,7,2,3,0,0,1,1,0,1,16,0,0.0,555.7424242424242,0,50
2018-03-20 13:04:17.249351,1520948031.78953,0,0,0,2,0.6636987924575806,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2711.875,18,0,1,0,1,3,4,6,0,0,0,0,0,1,7,0,0.0,477.2826086956522,0,41
2018-03-20 13:04:17.264875,1520948032.290204,0,0,0,2,0.679226279258728,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4259.875,19,0,0,2,0,3,4,2,2,1,1,0,0,2,14,0,0.0,559.7258064516129,0,50
2018-03-20 13:04:17.282365,1520948032.790368,0,0,0,2,0.6967145204544067,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6420.0,18,0,0,0,1,0,5,3,1,1,0,1,1,3,25,0,0.0,640.9268292682926,0,59
2018-03-20 13:04:17.300468,1520948033.290839,0,0,0,2,0.7148228883743286,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4854.875,28,1,2,1,0,1,0,1,2,0,1,2,1,4,16,0,0.0,593.439393939394,0,60
2018-03-20 13:04:17.312762,1520948033.791626,0,0,0,2,0.727108359336853,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600.5,17,0,1,1,0,0,0,1,3,3,4,0,1,1,10,0,0.0,584.4,0,42
2018-03-20 13:04:17.325923,1520948034.292569,0,0,0,2,0.7402690649032593,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4172.375,19,1,0,0,0,0,1,0,0,1,3,3,2,2,13,0,0.0,606.2678571428571,0,45
2018-03-20 13:04:17.346302,1520948034.792684,0,0,0,2,0.7606555223464966,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6581.25,28,0,0,0,0,1,0,1,0,0,4,5,3,2,23,0,0.0,682.7564102564103,0,67
2018-03-20 13:04:17.366994,1520948035.293661,0,0,0,2,0.7813488245010376,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6980.125,26,0,0,1,0,0,1,0,0,0,0,5,5,5,24,0,0.0,675.6861904761905,0,67
2018-03-20 13:04:17.384683,1520948035.793875,0,0,0,2,0.7990323305130005,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5260.625,29,0,0,1,0,0,0,0,0,0,0,0,6,8,15,0,0.0,681.5691244239631,0,59
2018-03-20 13:04:17.446180,1520948036.294064,0,0,0,2,0.8605378866195679,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7427.75,33,0,0,1,0,1,1,0,1,0,0,0,4,5,30,0,0.0,682.8522727272727,0,76
2018-03-20 13:04:17.466646,1520948036.79421,0,0,0,2,0.8809980154037476,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5272.25,20,0,1,1,1,0,1,2,0,1,4,0,2,2,19,0,0.0,614.4285714285714,0,54
2018-03-20 13:04:17.483476,1520948037.295132,0,0,0,2,0.8978263139724731,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4390.875,19,1,0,1,0,1,2,0,1,2,1,1,2,3,14,0,0.0,614.6488203266788,0,48
2018-03-20 13:04:17.506055,1520948037.795412,0,0,0,2,0.9204052686691284,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6708.125,30,0,0,0,1,1,2,0,1,3,2,1,2,4,24,0,0.0,647.4289819376027,0,71
2018-03-20 13:04:17.517923,1520948038.29572,0,0,0,2,0.9322696924209595,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2479.75,16,0,12,1,1,1,0,0,0,0,0,0,0,1,9,0,0.0,406.12,0,41
2018-03-20 13:04:17.531009,1520948038.796601,0,0,0,2,0.9453610181808472,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2507.0,17,0,13,0,1,0,0,1,0,0,0,0,0,1,9,0,0.0,409.44,0,42
2018-03-20 13:04:17.543256,1520948039.297304,0,0,0,2,0.9576047658920288,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2225.875,19,0,13,0,1,0,0,0,0,0,0,0,1,1,7,0,0.0,391.7402745995424,0,42
2018-03-20 13:04:17.561126,1520948039.797328,0,0,0,2,0.9754742383956909,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6736.125,20,0,1,0,1,0,1,1,1,1,0,2,4,4,25,0,0.0,670.5,0,61
2018-03-20 13:04:17.585242,1520948040.298232,0,0,0,2,0.9995933771133423,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8595.0,29,2,0,0,1,1,2,3,0,0,0,1,1,11,31,0,0.0,627.8571428571429,0,82
2018-03-20 13:04:17.601787,1520948040.798643,0,0,0,2,1.016140341758728,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3987.125,22,2,0,0,0,1,0,1,0,1,0,1,1,3,15,0,0.0,597.6592592592592,0,47
2018-03-20 13:04:17.616632,1520948041.2993,0,0,0,2,1.0309797525405884,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4053.375,20,0,2,1,0,1,0,1,1,0,0,0,1,5,14,0,0.0,569.8448275862069,0,46
2018-03-20 13:04:17.634317,1520948041.799528,0,0,0,2,1.0486665964126587,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5355.75,20,0,1,1,1,2,0,2,1,0,0,0,1,4,21,0,0.0,608.0833333333334,0,54
